dataset,stratum,mean,ci_lo,ci_hi,n_cells
nslkdd,R2L SHC rung 0.00,0.1431,0.1284,0.1617,600
nslkdd,R2L SHC rung 0.20,0.1139,0.1026,0.1286,600
nslkdd,R2L SHC rung 0.40,0.0848,0.0763,0.0959,600
nslkdd,R2L SHC rung 0.60,0.0582,0.0522,0.0662,600
nslkdd,R2L SHC rung 0.80,0.0298,0.0267,0.0339,600
cicids2017,DoS SHC alpha 0.05,0.6039,0.597,0.6111,150
cicids2017,DoS SHC alpha 0.1,0.5565,0.5499,0.5643,150
cicids2017,DoS SHC alpha 0.2,0.4786,0.4719,0.4869,150
ugr16,nerisbotnet SHC alpha 0.05,0.9473,0.9469,0.9476,30
ugr16,nerisbotnet SHC alpha 0.1,0.8953,0.8948,0.8959,30
ugr16,nerisbotnet SHC alpha 0.2,0.7904,0.7898,0.7911,30
ugr16,scan11 SHC alpha 0.05,0.535,0.5247,0.5441,30
ugr16,scan44 SHC alpha 0.05,0.799,0.7943,0.8039,30
