label,n,family,subtype
DDoS-ICMP_Flood,7200504,DDoS,ICMP_Flood
DDoS-UDP_Flood,5412287,DDoS,UDP_Flood
DDoS-TCP_Flood,4497667,DDoS,TCP_Flood
DDoS-PSHACK_Flood,4094755,DDoS,PSHACK_Flood
DDoS-SYN_Flood,4059190,DDoS,SYN_Flood
DDoS-RSTFINFlood,4045285,DDoS,RSTFINFlood
DDoS-SynonymousIP_Flood,3598138,DDoS,SynonymousIP_Flood
DoS-UDP_Flood,3318595,DoS,UDP_Flood
DoS-TCP_Flood,2671445,DoS,TCP_Flood
DoS-SYN_Flood,2028834,DoS,SYN_Flood
BenignTraffic,1098195,Benign,BenignTraffic
Mirai-greeth_flood,991866,Mirai,greeth_flood
Mirai-udpplain,890576,Mirai,udpplain
Mirai-greip_flood,751682,Mirai,greip_flood
DDoS-ICMP_Fragmentation,452489,DDoS,ICMP_Fragmentation
MITM-ArpSpoofing,307593,Spoofing,MITM-ArpSpoofing
DDoS-UDP_Fragmentation,286925,DDoS,UDP_Fragmentation
DDoS-ACK_Fragmentation,285104,DDoS,ACK_Fragmentation
DNS_Spoofing,178911,Spoofing,DNS_Spoofing
Recon-HostDiscovery,134378,Recon,HostDiscovery
Recon-OSScan,98259,Recon,OSScan
Recon-PortScan,82284,Recon,PortScan
DoS-HTTP_Flood,71864,DoS,HTTP_Flood
VulnerabilityScan,37382,Recon,VulnerabilityScan
DDoS-HTTP_Flood,28790,DDoS,HTTP_Flood
DDoS-SlowLoris,23426,DDoS,SlowLoris
DictionaryBruteForce,13064,BruteForce,DictionaryBruteForce
BrowserHijacking,5859,Web,BrowserHijacking
CommandInjection,5409,Web,CommandInjection
SqlInjection,5245,Web,SqlInjection
XSS,3846,Web,XSS
Backdoor_Malware,3218,Web,Backdoor_Malware
Recon-PingSweep,2262,Recon,PingSweep
Uploading_Attack,1252,Web,Uploading_Attack
