dataset,arch,class,n_pred_target,n_true_target,low_support,q_source,signal,oracle,exceedance_pred,exceedance_true,coverage,undercoverage,failing
nslkdd,mlp,Normal,1665,1008,False,0.4999731779098511,-0.05,-0.027182539682539687,0.0,0.022817460317460316,0.9268402777777777,0.02315972222222229,0
nslkdd,mlp,DoS,389,772,False,0.4999731779098511,-0.05,0.5212435233160622,0.0,0.5712435233160622,0.39876378933089374,0.5512362106691062,1
nslkdd,mlp,Probe,269,249,False,0.4999731779098511,-0.05,0.34759036144578315,0.0,0.39759036144578314,0.6278059099362795,0.32219409006372046,1
nslkdd,mlp,R2L,7,296,True,0.9905286473222077,,0.8925675675675675,,0.9425675675675675,0.02981848141104289,0.920181518588957,1
nslkdd,mlp,Normal,1717,1008,False,0.4999731779098511,-0.05,-0.02916666666666667,0.0,0.020833333333333332,0.9268402777777777,0.02315972222222229,0
nslkdd,mlp,DoS,341,771,False,0.4999731779098511,-0.05,0.5764591439688715,0.0,0.6264591439688716,0.39876378933089374,0.5512362106691062,1
nslkdd,mlp,Probe,263,248,False,0.4999731779098511,-0.05,0.31290322580645163,0.0,0.3629032258064516,0.6278059099362795,0.32219409006372046,1
nslkdd,mlp,R2L,9,297,True,0.9905286473222077,,0.8994949494949495,,0.9494949494949495,0.02981848141104289,0.920181518588957,1
nslkdd,mlp,Normal,1653,1008,False,0.4999731779098511,-0.05,-0.01825396825396826,0.0,0.031746031746031744,0.9268402777777777,0.02315972222222229,0
nslkdd,mlp,DoS,393,771,False,0.4999731779098511,-0.05,0.5284695201037614,0.0,0.5784695201037614,0.39876378933089374,0.5512362106691062,1
nslkdd,mlp,Probe,274,250,False,0.4999731779098511,-0.05,0.362,0.0,0.412,0.6278059099362795,0.32219409006372046,1
nslkdd,mlp,R2L,10,297,True,0.9905286473222077,,0.9028619528619528,,0.9528619528619529,0.02981848141104289,0.920181518588957,1
nslkdd,mlp,Normal,1705,1008,False,0.4999731779098511,-0.05,-0.03214285714285715,0.0,0.017857142857142856,0.9268402777777777,0.02315972222222229,0
nslkdd,mlp,DoS,339,772,False,0.4999731779098511,-0.05,0.5782383419689119,0.0,0.6282383419689119,0.39876378933089374,0.5512362106691062,1
nslkdd,mlp,Probe,277,249,False,0.4999731779098511,-0.05,0.31546184738955824,0.0,0.3654618473895582,0.6278059099362795,0.32219409006372046,1
nslkdd,mlp,R2L,10,297,True,0.9905286473222077,,0.8927609427609428,,0.9427609427609428,0.02981848141104289,0.920181518588957,1
nslkdd,mlp,Normal,1724,1008,False,0.4999731779098511,-0.05,-0.027182539682539687,0.0,0.022817460317460316,0.9268402777777777,0.02315972222222229,0
nslkdd,mlp,DoS,364,771,False,0.4999731779098511,-0.05,0.5790531776913099,0.0,0.62905317769131,0.39876378933089374,0.5512362106691062,1
nslkdd,mlp,Probe,237,250,False,0.4999731779098511,-0.05,0.462,0.0,0.512,0.6278059099362795,0.32219409006372046,1
nslkdd,mlp,R2L,7,297,True,0.9905286473222077,,0.9129629629629629,,0.9629629629629629,0.02981848141104289,0.920181518588957,1
nslkdd,mlp,Normal,1801,1008,False,0.5,-0.05,-0.02817460317460318,0.0,0.021825396825396824,0.9268402777777777,0.02315972222222229,0
nslkdd,mlp,DoS,296,772,False,0.5,-0.05,0.6196891191709845,0.0,0.6696891191709845,0.39876378933089374,0.5512362106691062,1
nslkdd,mlp,Probe,229,249,False,0.5,-0.05,0.4198795180722892,0.0,0.46987951807228917,0.6278059099362795,0.32219409006372046,1
nslkdd,mlp,R2L,1,296,True,0.9638427458703518,,0.906081081081081,,0.956081081081081,0.02981848141104289,0.920181518588957,1
nslkdd,mlp,Normal,1838,1008,False,0.5,-0.05,-0.02817460317460318,0.0,0.021825396825396824,0.9268402777777777,0.02315972222222229,0
nslkdd,mlp,DoS,256,771,False,0.5,-0.05,0.6646562905317769,0.0,0.7146562905317769,0.39876378933089374,0.5512362106691062,1
nslkdd,mlp,Probe,233,248,False,0.5,-0.05,0.34919354838709676,0.0,0.39919354838709675,0.6278059099362795,0.32219409006372046,1
nslkdd,mlp,R2L,1,297,True,0.9638427458703518,,0.9028619528619528,,0.9528619528619529,0.02981848141104289,0.920181518588957,1
nslkdd,mlp,Normal,1809,1008,False,0.5,-0.05,-0.01924603174603175,0.0,0.030753968253968252,0.9268402777777777,0.02315972222222229,0
nslkdd,mlp,DoS,295,771,False,0.5,-0.05,0.6309338521400778,0.0,0.6809338521400778,0.39876378933089374,0.5512362106691062,1
nslkdd,mlp,Probe,223,250,False,0.5,-0.05,0.466,0.0,0.516,0.6278059099362795,0.32219409006372046,1
nslkdd,mlp,R2L,3,297,True,0.9638427458703518,,0.9129629629629629,,0.9629629629629629,0.02981848141104289,0.920181518588957,1
nslkdd,mlp,Normal,1825,1008,False,0.5,-0.05,-0.03313492063492064,0.0,0.016865079365079364,0.9268402777777777,0.02315972222222229,0
nslkdd,mlp,DoS,266,772,False,0.5,-0.05,0.6507772020725389,0.0,0.7007772020725389,0.39876378933089374,0.5512362106691062,1
nslkdd,mlp,Probe,233,249,False,0.5,-0.05,0.3676706827309237,0.0,0.41767068273092367,0.6278059099362795,0.32219409006372046,1
nslkdd,mlp,R2L,6,297,True,0.9638427458703518,,0.9028619528619528,,0.9528619528619529,0.02981848141104289,0.920181518588957,1
nslkdd,mlp,Normal,1838,1008,False,0.5,-0.05,-0.027182539682539687,0.0,0.022817460317460316,0.9268402777777777,0.02315972222222229,0
nslkdd,mlp,DoS,288,771,False,0.5,-0.05,0.6555771725032425,0.0,0.7055771725032426,0.39876378933089374,0.5512362106691062,1
nslkdd,mlp,Probe,203,250,False,0.5,-0.05,0.48600000000000004,0.0,0.536,0.6278059099362795,0.32219409006372046,1
nslkdd,mlp,R2L,2,297,True,0.9638427458703518,,0.9196969696969697,,0.9696969696969697,0.02981848141104289,0.920181518588957,1
nslkdd,mlp,Normal,1742,1008,False,0.5,-0.05,-0.027182539682539687,0.0,0.022817460317460316,0.9268402777777777,0.02315972222222229,0
nslkdd,mlp,DoS,365,772,False,0.4999998211860657,-0.02808219178082192,0.5756476683937823,0.021917808219178082,0.6256476683937824,0.39876378933089374,0.5512362106691062,1
nslkdd,mlp,Probe,220,249,False,0.5,-0.05,0.4720883534136547,0.0,0.5220883534136547,0.6278059099362795,0.32219409006372046,1
nslkdd,mlp,R2L,0,296,True,0.9705162234604359,,0.9094594594594594,,0.9594594594594594,0.02981848141104289,0.920181518588957,1
nslkdd,mlp,Normal,1811,1008,False,0.5,-0.05,-0.02916666666666667,0.0,0.020833333333333332,0.9268402777777777,0.02315972222222229,0
nslkdd,mlp,DoS,307,771,False,0.4999998211860657,-0.023941368078175897,0.6374189364461738,0.026058631921824105,0.6874189364461738,0.39876378933089374,0.5512362106691062,1
nslkdd,mlp,Probe,210,248,False,0.5,-0.05,0.43790322580645163,0.0,0.4879032258064516,0.6278059099362795,0.32219409006372046,1
nslkdd,mlp,R2L,1,297,True,0.9705162234604359,,0.8994949494949495,,0.9494949494949495,0.02981848141104289,0.920181518588957,1
nslkdd,mlp,Normal,1765,1008,False,0.5,-0.05,-0.01924603174603175,0.0,0.030753968253968252,0.9268402777777777,0.02315972222222229,0
nslkdd,mlp,DoS,360,771,False,0.4999998211860657,-0.01666666666666667,0.5933203631647211,0.03333333333333333,0.6433203631647212,0.39876378933089374,0.5512362106691062,1
nslkdd,mlp,Probe,204,250,False,0.5,-0.05,0.5619999999999999,0.0,0.612,0.6278059099362795,0.32219409006372046,1
nslkdd,mlp,R2L,0,297,True,0.9705162234604359,,0.9129629629629629,,0.9629629629629629,0.02981848141104289,0.920181518588957,1
nslkdd,mlp,Normal,1772,1008,False,0.5,-0.05,-0.03313492063492064,0.0,0.016865079365079364,0.9268402777777777,0.02315972222222229,0
nslkdd,mlp,DoS,337,772,False,0.4999998211860657,-0.032195845697329376,0.5963730569948186,0.017804154302670624,0.6463730569948186,0.39876378933089374,0.5512362106691062,1
nslkdd,mlp,Probe,218,249,False,0.5,-0.05,0.4439759036144578,0.0,0.4939759036144578,0.6278059099362795,0.32219409006372046,1
nslkdd,mlp,R2L,3,297,True,0.9705162234604359,,0.9062289562289562,,0.9562289562289562,0.02981848141104289,0.920181518588957,1
nslkdd,mlp,Normal,1799,1008,False,0.5,-0.05,-0.027182539682539687,0.0,0.022817460317460316,0.9268402777777777,0.02315972222222229,0
nslkdd,mlp,DoS,342,771,False,0.4999998211860657,-0.011988304093567256,0.6283398184176394,0.038011695906432746,0.6783398184176395,0.39876378933089374,0.5512362106691062,1
nslkdd,mlp,Probe,187,250,False,0.5,-0.05,0.574,0.0,0.624,0.6278059099362795,0.32219409006372046,1
nslkdd,mlp,R2L,3,297,True,0.9705162234604359,,0.9264309764309764,,0.9764309764309764,0.02981848141104289,0.920181518588957,1
nslkdd,mlp,Normal,1736,1008,False,0.5,-0.05,-0.027182539682539687,0.0,0.022817460317460316,0.9268402777777777,0.02315972222222229,0
nslkdd,mlp,DoS,368,772,False,0.5,-0.05,0.5251295336787565,0.0,0.5751295336787565,0.39876378933089374,0.5512362106691062,1
nslkdd,mlp,Probe,222,249,False,0.5,-0.05,0.5242971887550201,0.0,0.5742971887550201,0.6278059099362795,0.32219409006372046,1
nslkdd,mlp,R2L,1,296,True,0.9821760784834623,,0.9128378378378378,,0.9628378378378378,0.02981848141104289,0.920181518588957,1
